id,performer_name,promotion,brand,source_brand,gender_division,division,game_eligible,availability,role_tier,alignment,archetype,faction_or_team,championships,source_overall,game_overall,rating_basis,rating_confidence,estimated_salary_usd,contract_weeks_remaining,renewal_risk,popularity_overall,star_power,draw_power,merch_appeal,social_buzz,workrate,psychology,stamina,consistency,safety,big_match_ability,charisma,mic_skill,character_work,crowd_connection,segment_versatility,fatigue,durability,injury_risk,recovery_rate,morale,confidence,locker_room_influence,frustration,singles_fit,tag_fit,promo_fit,rivalry_fit,opener_fit,main_event_fit,special_stipulation_fit,primary_roster_source_url,secondary_roster_source_url,ratings_source_url,notes
wwe_raw_akira_tozawa,Akira Tozawa,WWE,Raw,Raw,Mens,Mens,Yes,Active,Enhancement,Face,Powerhouse,Alpha Academy,,68,68,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,137000,52,25,71,64,67,76,67,70,70,69,65,70,68,64,59,60,70,62,17,64,23,67,79,73,69,27,72,71,59,65,70,62,78,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
wwe_raw_angelo_dawkins,Angelo Dawkins,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,,,78,78,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,927000,52,25,76,78,77,73,71,79,78,82,73,83,77,75,72,78,77,76,18,74,21,68,65,72,75,23,81,78,75,76,77,75,81,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
wwe_raw_austin_theory,Austin Theory,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Heel,RingGeneral,,,82,82,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,942000,52,25,84,80,82,80,78,79,78,86,83,88,77,83,84,86,80,84,25,75,31,69,60,71,87,21,78,85,85,80,85,75,88,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
wwe_raw_bravo_americano,Bravo Americano,WWE,Raw,Raw,Mens,Mens,Yes,Active,Enhancement,Tweener,RingGeneral,,,,72,"Game-derived estimate from roster tier, title status, current availability, and known public role",Medium,139000,52,25,73,72,72,73,71,67,67,65,75,76,67,73,71,72,70,71,19,68,20,73,63,68,68,21,72,81,71,69,68,61,77,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
wwe_raw_bron_breakker,Bron Breakker,WWE,Raw,Raw,Mens,Mens,Yes,Active,MainEvent,Heel,Powerhouse,,,90,90,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3738000,52,35,93,97,95,97,95,89,90,89,93,94,97,90,95,88,96,91,20,84,31,66,70,82,88,38,93,90,91,94,83,99,97,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
wwe_raw_bronson_reed,Bronson Reed,WWE,Raw,Raw,Mens,Mens,Yes,Active,UpperCard,Unknown,Powerhouse,,,88,88,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,1929000,52,35,90,87,88,87,92,86,90,92,89,89,87,93,90,92,86,90,25,83,22,69,75,79,90,38,93,91,91,88,86,88,89,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
wwe_raw_brutus_creed,Brutus Creed,WWE,Raw,Raw,Mens,Mens,Yes,Active,Enhancement,Heel,Powerhouse,American Made,,77,77,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,142000,52,25,77,74,75,72,83,73,75,73,77,76,75,74,78,73,74,76,17,74,19,70,69,70,74,28,75,81,75,74,80,69,76,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
wwe_raw_cm_punk,CM Punk,WWE,Raw,Raw,Mens,Mens,Yes,Active,MainEvent,Unknown,RingGeneral,,,94,94,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3795000,52,35,99,99,99,99,99,88,89,87,93,89,99,93,89,92,99,91,14,84,29,69,64,82,92,24,99,98,90,97,87,99,96,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
wwe_raw_cruz_del_toro,Cruz Del Toro,WWE,Raw,Raw,Mens,Mens,Yes,Active,Enhancement,Face,RingGeneral,,,73,73,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,140000,52,25,72,72,72,71,66,74,78,76,75,73,68,76,79,75,72,75,21,63,28,67,77,72,76,25,69,73,77,72,78,62,73,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
wwe_raw_dominik_mysterio,Dominik Mysterio,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Tweener,HighFlyer,,,87,87,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,961000,52,25,87,86,86,85,93,86,84,83,84,84,86,91,93,93,88,91,12,80,21,65,60,73,81,24,89,91,93,89,82,84,90,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
wwe_raw_dragon_lee,Dragon Lee,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,HighFlyer,,,79,79,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,931000,52,25,80,76,78,83,74,83,81,74,83,82,73,79,79,77,79,78,13,70,24,70,65,71,82,16,75,71,78,76,82,71,77,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
