draft_rank,id,name,brand,division,role_tier
1,aew-aew-kenny-omega,Kenny Omega,AEW,Mens,MainEvent
2,wwe-smackdown-rhea-ripley,Rhea Ripley,SmackDown,Womens,MainEvent
3,wwe-smackdown-cody-rhodes,Cody Rhodes,SmackDown,Mens,MainEvent
4,wwe-raw-roman-reigns,Roman Reigns,Raw,Mens,MainEvent
5,wwe-raw-becky-lynch,Becky Lynch,Raw,Womens,MainEvent
6,aew-aew-kazuchika-okada,Kazuchika Okada,AEW,Mens,MainEvent
7,aew-aew-chris-jericho,Chris Jericho,AEW,Mens,MainEvent
8,wwe-raw-cm-punk,CM Punk,Raw,Mens,MainEvent
9,wwe-raw-seth-rollins,Seth Rollins,Raw,Mens,MainEvent
10,wwe-smackdown-bianca-belair,Bianca Belair,SmackDown,Womens,MainEvent
11,wwe-smackdown-gunther,Gunther,SmackDown,Mens,MainEvent
12,wwe-raw-iyo-sky,IYO SKY,Raw,Womens,MainEvent
13,wwe-raw-liv-morgan,Liv Morgan,Raw,Womens,MainEvent
14,wwe-smackdown-drew-mcintyre,Drew McIntyre,SmackDown,Mens,MainEvent
15,wwe-smackdown-randy-orton,Randy Orton,SmackDown,Mens,MainEvent
16,aew-aew-will-ospreay,Will Ospreay,AEW,Mens,MainEvent
17,aew-aew-mercedes-mon,Mercedes Moné,AEW,Womens,MainEvent
18,wwe-raw-naomi,Naomi,Raw,Womens,MainEvent
19,wwe-raw-stephanie-vaquer,Stephanie Vaquer,Raw,Womens,MainEvent
20,wwe-raw-asuka,Asuka,Raw,Womens,MainEvent
21,aew-aew-jon-moxley,Jon Moxley,AEW,Mens,MainEvent
22,wwe-raw-bron-breakker,Bron Breakker,Raw,Mens,MainEvent
23,aew-aew-thekla,Thekla,AEW,Womens,MainEvent
24,aew-aew-willow-nightingale,Willow Nightingale,AEW,Womens,MainEvent
25,wwe-smackdown-jade-cargill,Jade Cargill,SmackDown,Womens,MainEvent
26,wwe-smackdown-charlotte-flair,Charlotte Flair,SmackDown,Womens,Midcard
27,aew-aew-swerve-strickland,Swerve Strickland,AEW,Mens,UpperCard
28,wwe-smackdown-jacob-fatu,Jacob Fatu,SmackDown,Mens,MainEvent
29,wwe-smackdown-tiffany-stratton,Tiffany Stratton,SmackDown,Womens,Midcard
30,aew-aew-mjf,MJF,AEW,Mens,UpperCard
31,aew-aew-dax-harwood,Dax Harwood,AEW,Mens,MainEvent
32,aew-aew-kevin-knight,Kevin Knight,AEW,Mens,MainEvent
33,aew-aew-orange-cassidy,Orange Cassidy,AEW,Mens,MainEvent
34,aew-aew-jay-white,Jay White,AEW,Mens,UpperCard
35,aew-aew-megan-bayne,Megan Bayne,AEW,Womens,MainEvent
36,aew-aew-eddie-kingston,Eddie Kingston,AEW,Mens,UpperCard
37,aew-aew-adam-copeland,Adam Copeland,AEW,Mens,UpperCard
38,aew-aew-pac,PAC,AEW,Mens,UpperCard
39,wwe-raw-jey-uso,Jey Uso,Raw,Mens,Midcard
40,aew-aew-cash-wheeler,Cash Wheeler,AEW,Mens,MainEvent
41,aew-aew-kyle-o-reilly,Kyle O'Reilly,AEW,Mens,MainEvent
42,wwe-raw-bayley,Bayley,Raw,Womens,UpperCard
43,aew-aew-samoa-joe,Samoa Joe,AEW,Mens,UpperCard
44,wwe-raw-logan-paul,Logan Paul,Raw,Mens,Midcard
45,aew-aew-roderick-strong,Roderick Strong,AEW,Mens,MainEvent
46,aew-aew-darby-allin,Darby Allin,AEW,Mens,MainEvent
47,wwe-smackdown-nia-jax,Nia Jax,SmackDown,Womens,UpperCard
48,aew-aew-bobby-lashley,Bobby Lashley,AEW,Mens,UpperCard
