id,performer_name,promotion,brand,source_brand,gender_division,division,game_eligible,availability,role_tier,alignment,archetype,faction_or_team,championships,source_overall,game_overall,rating_basis,rating_confidence,estimated_salary_usd,contract_weeks_remaining,renewal_risk,popularity_overall,star_power,draw_power,merch_appeal,social_buzz,workrate,psychology,stamina,consistency,safety,big_match_ability,charisma,mic_skill,character_work,crowd_connection,segment_versatility,durability,injury_risk,recovery_rate,confidence,locker_room_influence,frustration,singles_fit,tag_fit,promo_fit,rivalry_fit,opener_fit,main_event_fit,special_stipulation_fit,primary_roster_source_url,secondary_roster_source_url,ratings_source_url,notes,recalibration_model,top_200_rank,top_200_selection_score,draftRank,popularity,momentum,ringSkill,promoSkill,morale,fatigue
aew_aew_kenny_omega,Kenny Omega,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,RingGeneral,,,100,100,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3375000,52,35,99,99,99,99,99,94,99,99,99,96,99,99,99,99,99,99,94,18,69,81,99,31,99,99,99,99,90,99,99,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,1,98.5,1,95,76,94,94,58,11
wwe_smackdown_rhea_ripley,Rhea Ripley,WWE,SmackDown,SmackDown,Womens,Womens,Yes,Active,MainEvent,Face,RingGeneral,,WWE Women's Champion,96,96,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3824000,52,35,99,99,99,97,99,96,98,99,93,94,99,99,99,98,99,99,86,33,62,86,98,36,99,96,99,99,96,99,99,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,2,98.2,2,95,82,94,94,63,11
wwe_smackdown_cody_rhodes,Cody Rhodes,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,MainEvent,Face,Showman,,Undisputed WWE Champion,95,95,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3809000,52,35,99,99,99,99,99,98,92,89,97,97,99,99,99,99,99,99,92,25,67,80,99,27,99,90,99,99,86,99,99,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,3,97.75,3,95,81,90,94,64,11
wwe_raw_roman_reigns,Roman Reigns,WWE,Raw,Raw,Mens,Mens,Yes,Active,MainEvent,Face,Showman,,World Heavyweight Champion,95,95,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3809000,52,35,99,99,99,99,99,98,92,89,97,97,99,99,99,99,99,99,92,25,67,80,99,27,99,90,99,99,86,99,99,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,4,97.75,4,95,80,90,93,64,11
wwe_raw_becky_lynch,Becky Lynch,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,,Women's Intercontinental Champion,94,94,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3795000,52,35,98,99,98,94,97,95,95,88,97,96,98,93,94,92,94,93,90,18,70,89,99,29,95,99,93,95,87,99,92,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,5,97,5,95,81,94,90,70,11
aew_aew_kazuchika_okada,Kazuchika Okada,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,Technician,The Don Callis Family,AEW International Champion,94,94,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3300000,52,35,96,99,98,99,99,89,92,95,90,91,99,97,99,96,95,97,85,33,68,80,99,35,96,88,99,98,87,99,94,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,6,96.75,6,94,79,94,89,56,24
aew_aew_chris_jericho,Chris Jericho,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,Showman,,,94,94,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3300000,52,35,99,99,99,99,95,93,91,95,93,96,99,99,99,99,99,99,89,32,69,82,95,23,96,97,99,99,89,99,89,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,7,95.8,7,93,76,88,93,62,13
wwe_raw_cm_punk,CM Punk,WWE,Raw,Raw,Mens,Mens,Yes,Active,MainEvent,Unknown,RingGeneral,,,94,94,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3795000,52,35,99,99,99,99,99,88,89,87,93,89,99,93,89,92,99,91,84,29,69,82,92,24,99,98,90,97,87,99,96,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,8,95.8,8,95,75,93,89,60,13
wwe_raw_seth_rollins,Seth Rollins,WWE,Raw,Raw,Mens,Mens,Yes,Active,MainEvent,Face,Showman,,,94,94,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3795000,52,35,99,99,99,99,95,93,91,95,93,96,99,99,99,99,99,99,89,32,69,82,95,23,96,97,99,99,89,99,89,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,9,95.8,9,94,75,88,93,62,13
wwe_smackdown_bianca_belair,Bianca Belair,WWE,SmackDown,SmackDown,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,,,94,94,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3795000,52,35,98,99,98,94,97,95,95,88,97,96,98,93,94,92,94,93,90,18,70,89,99,29,95,99,93,95,87,99,92,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,10,95.5,10,95,78,93,89,69,10
