rank,id,name,status,matched_page,page_url,pageimage,image_url,note
1,aew-aew-kenny-omega,Kenny Omega,saved,Kenny Omega,https://prowrestling.fandom.com/wiki/Kenny_Omega,Omega_A.png,https://static.wikia.nocookie.net/prowrestling/images/b/b1/Omega_A.png/revision/latest?cb=20170703043019,Saved square portrait from Pro Wrestling Fandom page image
2,wwe-smackdown-rhea-ripley,Rhea Ripley,saved,Rhea Ripley,https://prowrestling.fandom.com/wiki/Rhea_Ripley,Rhea_Ripley_2024.png,https://static.wikia.nocookie.net/prowrestling/images/9/9d/Rhea_Ripley_2024.png/revision/latest/scale-to-width-down/767?cb=20240416181051,Saved square portrait from Pro Wrestling Fandom page image
3,wwe-smackdown-cody-rhodes,Cody Rhodes,saved,Cody Rhodes,https://prowrestling.fandom.com/wiki/Cody_Rhodes,Cody_Rhodes_2022.png,https://static.wikia.nocookie.net/prowrestling/images/d/d6/Cody_Rhodes_2022.png/revision/latest?cb=20250425134343,Saved square portrait from Pro Wrestling Fandom page image
4,wwe-raw-roman-reigns,Roman Reigns,saved,Roman Reigns,https://prowrestling.fandom.com/wiki/Roman_Reigns,Roman_Reigns_Tribal_Chief.png,https://static.wikia.nocookie.net/prowrestling/images/f/f7/Roman_Reigns_Tribal_Chief.png/revision/latest?cb=20210524105359,Saved square portrait from Pro Wrestling Fandom page image
5,wwe-raw-becky-lynch,Becky Lynch,saved,Becky Lynch,https://prowrestling.fandom.com/wiki/Becky_Lynch,Becky_Lynch_The_Man_stat.png,https://static.wikia.nocookie.net/prowrestling/images/a/a0/Becky_Lynch_The_Man_stat.png/revision/latest?cb=20190807030656,Saved square portrait from Pro Wrestling Fandom page image
6,aew-aew-kazuchika-okada,Kazuchika Okada,saved,Kazuchika Okada,https://prowrestling.fandom.com/wiki/Kazuchika_Okada,Kazuchika_Okada_RainMaker.png,https://static.wikia.nocookie.net/prowrestling/images/c/c2/Kazuchika_Okada_RainMaker.png/revision/latest?cb=20220628062110,Saved square portrait from Pro Wrestling Fandom page image
7,aew-aew-chris-jericho,Chris Jericho,saved,Chris Jericho,https://prowrestling.fandom.com/wiki/Chris_Jericho,Chris_Jericho_-_2020.png,https://static.wikia.nocookie.net/prowrestling/images/1/11/Chris_Jericho_-_2020.png/revision/latest/scale-to-width-down/1229?cb=20200517103743,Saved square portrait from Pro Wrestling Fandom page image
8,wwe-raw-cm-punk,CM Punk,saved,CM Punk,https://prowrestling.fandom.com/wiki/CM_Punk,CMPunk.png,https://static.wikia.nocookie.net/prowrestling/images/5/51/CMPunk.png/revision/latest?cb=20250828144938,Saved square portrait from Pro Wrestling Fandom page image
9,wwe-raw-seth-rollins,Seth Rollins,saved,Seth Rollins,https://prowrestling.fandom.com/wiki/Seth_Rollins,MessiahSethRollins.png,https://static.wikia.nocookie.net/prowrestling/images/0/07/MessiahSethRollins.png/revision/latest?cb=20200915160427,Saved square portrait from Pro Wrestling Fandom page image
10,wwe-smackdown-bianca-belair,Bianca Belair,saved,Bianca Belair,https://prowrestling.fandom.com/wiki/Bianca_Belair,BiancaEST.png,https://static.wikia.nocookie.net/prowrestling/images/f/f7/BiancaEST.png/revision/latest?cb=20230124214524,Saved square portrait from Pro Wrestling Fandom page image
11,wwe-smackdown-gunther,Gunther,saved,Gunther,https://prowrestling.fandom.com/wiki/Gunther,Gunther_2022_Render.png,https://static.wikia.nocookie.net/prowrestling/images/f/f8/Gunther_2022_Render.png/revision/latest?cb=20221126011507,Saved square portrait from Pro Wrestling Fandom page image
12,wwe-raw-iyo-sky,IYO SKY,saved,Io Shirai,https://prowrestling.fandom.com/wiki/Io_Shirai,Io_shirai_new_2019_png_by_ambriegnsasylum16_ddg8yb3-fullview.png,https://static.wikia.nocookie.net/prowrestling/images/0/0e/Io_shirai_new_2019_png_by_ambriegnsasylum16_ddg8yb3-fullview.png/revision/latest/scale-to-width-down/1256?cb=20220805065535,Saved square portrait from Pro Wrestling Fandom page image
13,wwe-raw-liv-morgan,Liv Morgan,saved,Liv Morgan,https://prowrestling.fandom.com/wiki/Liv_Morgan,Liv_Morgan_2024.png,https://static.wikia.nocookie.net/prowrestling/images/6/68/Liv_Morgan_2024.png/revision/latest?cb=20240528050909,Saved square portrait from Pro Wrestling Fandom page image
14,wwe-smackdown-drew-mcintyre,Drew McIntyre,saved,Drew McIntyre,https://prowrestling.fandom.com/wiki/Drew_McIntyre,Drew_McIntyre--stat2.png,https://static.wikia.nocookie.net/prowrestling/images/2/2b/Drew_McIntyre--stat2.png/revision/latest?cb=20190615072128,Saved square portrait from Pro Wrestling Fandom page image
15,wwe-smackdown-randy-orton,Randy Orton,saved,Randy Orton,https://prowrestling.fandom.com/wiki/Randy_Orton,Randy_Orton_stat_photo.png,https://static.wikia.nocookie.net/prowrestling/images/0/07/Randy_Orton_stat_photo.png/revision/latest?cb=20180727163556,Saved square portrait from Pro Wrestling Fandom page image
16,aew-aew-will-ospreay,Will Ospreay,saved,Will Ospreay,https://prowrestling.fandom.com/wiki/Will_Ospreay,Will_Ospreay_2022.png,https://static.wikia.nocookie.net/prowrestling/images/0/0d/Will_Ospreay_2022.png/revision/latest?cb=20220615232444,Saved square portrait from Pro Wrestling Fandom page image
17,aew-aew-mercedes-mon,Mercedes Moné,saved,Sasha Banks,https://prowrestling.fandom.com/wiki/Sasha_Banks,Mercedes_Mone.png,https://static.wikia.nocookie.net/prowrestling/images/c/cc/Mercedes_Mone.png/revision/latest/scale-to-width-down/942?cb=20230423193827,Saved square portrait from Pro Wrestling Fandom page image
18,wwe-raw-naomi,Naomi,saved,Naomi,https://prowrestling.fandom.com/wiki/Naomi,Naomi_WWE_2025.png,https://static.wikia.nocookie.net/prowrestling/images/a/a5/Naomi_WWE_2025.png/revision/latest?cb=20250524200132,Saved square portrait from Pro Wrestling Fandom page image
19,wwe-raw-stephanie-vaquer,Stephanie Vaquer,saved,Stephanie Vaquer,https://prowrestling.fandom.com/wiki/Stephanie_Vaquer,Stephanie_Vaquer_2024.png,https://static.wikia.nocookie.net/prowrestling/images/6/6e/Stephanie_Vaquer_2024.png/revision/latest?cb=20241023134513,Saved square portrait from Pro Wrestling Fandom page image
20,wwe-raw-asuka,Asuka,saved,Asuka,https://prowrestling.fandom.com/wiki/Asuka,Asuka_2023.png,https://static.wikia.nocookie.net/prowrestling/images/a/a1/Asuka_2023.png/revision/latest?cb=20230530114746,Saved square portrait from Pro Wrestling Fandom page image
21,aew-aew-jon-moxley,Jon Moxley,saved,Dean Ambrose,https://prowrestling.fandom.com/wiki/Dean_Ambrose,Jon_Moxley.png,https://static.wikia.nocookie.net/prowrestling/images/8/85/Jon_Moxley.png/revision/latest?cb=20190601041933,Saved square portrait from Pro Wrestling Fandom page image
22,wwe-raw-bron-breakker,Bron Breakker,saved,Bron Breakker,https://prowrestling.fandom.com/wiki/Bron_Breakker,Bron_Breakker_-_WWENXT2021ProfilePic.png,https://static.wikia.nocookie.net/prowrestling/images/6/6c/Bron_Breakker_-_WWENXT2021ProfilePic.png/revision/latest?cb=20211217010850,Saved square portrait from Pro Wrestling Fandom page image
23,aew-aew-thekla,Thekla,saved,Thekla,https://prowrestling.fandom.com/wiki/Thekla,Thekla_2025.png,https://static.wikia.nocookie.net/prowrestling/images/7/7b/Thekla_2025.png/revision/latest/scale-to-width-down/516?cb=20250529191642,Saved square portrait from Pro Wrestling Fandom page image
24,aew-aew-willow-nightingale,Willow Nightingale,saved,Willow Nightingale,https://prowrestling.fandom.com/wiki/Willow_Nightingale,EyeCandy(WOW).png,https://static.wikia.nocookie.net/prowrestling/images/0/00/EyeCandy%28WOW%29.png/revision/latest?cb=20190120033112,Saved square portrait from Pro Wrestling Fandom page image
25,wwe-smackdown-jade-cargill,Jade Cargill,saved,Jade Cargill,https://prowrestling.fandom.com/wiki/Jade_Cargill,Jade_Cargill_2024.png,https://static.wikia.nocookie.net/prowrestling/images/2/20/Jade_Cargill_2024.png/revision/latest/scale-to-width-down/642?cb=20240401182548,Saved square portrait from Pro Wrestling Fandom page image
26,wwe-smackdown-charlotte-flair,Charlotte Flair,saved,Charlotte,https://prowrestling.fandom.com/wiki/Charlotte,Charlotte_flair_2017.png,https://static.wikia.nocookie.net/prowrestling/images/6/68/Charlotte_flair_2017.png/revision/latest?cb=20171117174918,Saved square portrait from Pro Wrestling Fandom page image
27,aew-aew-swerve-strickland,Swerve Strickland,saved,Isaiah Scott,https://prowrestling.fandom.com/wiki/Isaiah_Scott,Isaiah_Swerve_Scott_stat.png,https://static.wikia.nocookie.net/prowrestling/images/4/4c/Isaiah_Swerve_Scott_stat.png/revision/latest?cb=20190704024324,Saved square portrait from Pro Wrestling Fandom page image
28,wwe-smackdown-jacob-fatu,Jacob Fatu,saved,Jacob Fatu,https://prowrestling.fandom.com/wiki/Jacob_Fatu,Jacob_Fatu_2024.png,https://static.wikia.nocookie.net/prowrestling/images/0/0c/Jacob_Fatu_2024.png/revision/latest?cb=20240805185821,Saved square portrait from Pro Wrestling Fandom page image
29,wwe-smackdown-tiffany-stratton,Tiffany Stratton,saved,Tiffany Stratton,https://prowrestling.fandom.com/wiki/Tiffany_Stratton,Tiffany_Stratton_2023.png,https://static.wikia.nocookie.net/prowrestling/images/f/ff/Tiffany_Stratton_2023.png/revision/latest?cb=20230530115059,Saved square portrait from Pro Wrestling Fandom page image
30,aew-aew-mjf,MJF,saved,Maxwell Jacob Friedman,https://prowrestling.fandom.com/wiki/Maxwell_Jacob_Friedman,MJF_-_7ec54e9588a24443827c7a121299c4c6.png,https://static.wikia.nocookie.net/prowrestling/images/8/89/MJF_-_7ec54e9588a24443827c7a121299c4c6.png/revision/latest?cb=20191003135211,Saved square portrait from Pro Wrestling Fandom page image
31,aew-aew-dax-harwood,Dax Harwood,saved,Scott Dawson,https://prowrestling.fandom.com/wiki/Scott_Dawson,Scott_Dawson.png,https://static.wikia.nocookie.net/prowrestling/images/b/b3/Scott_Dawson.png/revision/latest?cb=20140902164331,Saved square portrait from Pro Wrestling Fandom page image
32,aew-aew-kevin-knight,Kevin Knight,saved,Kevin Knight,https://prowrestling.fandom.com/wiki/Kevin_Knight,Kevin_Knight_-_IWF_-_014.jpg,https://static.wikia.nocookie.net/prowrestling/images/b/b7/Kevin_Knight_-_IWF_-_014.jpg/revision/latest?cb=20130809190245,Saved square portrait from Pro Wrestling Fandom page image
