rank,id,name,status,wikidata_qid,wikidata_label,wikidata_description,commons_file,source_url,license,artist,credit,note
1,aew-aew-kenny-omega,Kenny Omega,saved,Q3195235,Kenny Omega,Canada-born Japanese professional wrestler,All Elite Wrestling Executive Vice President - Kenny Omega (headshot).jpg,https://commons.wikimedia.org/wiki/File:All_Elite_Wrestling_Executive_Vice_President_-_Kenny_Omega_(headshot).jpg,CC BY-SA 4.0,All Elite Wrestling,All Elite Wrestling (Uploader is an employee of the company),Saved from Wikimedia Commons P18 image
2,wwe-smackdown-rhea-ripley,Rhea Ripley,saved,Q56259738,Rhea Ripley,Australian professional wrestler,"Rhea Ripley, April 2024 (cropped).jpg","https://commons.wikimedia.org/wiki/File:Rhea_Ripley,_April_2024_(cropped).jpg",CC BY 2.0,Diego Serrano,https://www.flickr.com/photos/202213156@N02/54307425140/,Saved from Wikimedia Commons P18 image
3,wwe-smackdown-cody-rhodes,Cody Rhodes,saved,Q299222,Cody Rhodes,American professional wrestler,"Cody Rhodes, April 2024 (cropped).jpg","https://commons.wikimedia.org/wiki/File:Cody_Rhodes,_April_2024_(cropped).jpg",CC BY 2.0,Diego Serrano,WWE,Saved from Wikimedia Commons P18 image
4,wwe-raw-roman-reigns,Roman Reigns,error,Q275971,Roman Reigns,American professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q275971&props=claims&format=json
5,wwe-raw-becky-lynch,Becky Lynch,saved,Q7301800,Becky Lynch,Irish professional wrestler and actress,Becky Lynch July 2019.jpg,https://commons.wikimedia.org/wiki/File:Becky_Lynch_July_2019.jpg,CC BY 2.0,Super Festivals,Flickr,Saved from Wikimedia Commons P18 image
6,aew-aew-kazuchika-okada,Kazuchika Okada,saved,Q1057868,Kazuchika Okada,Japanese professional wrestler,Kazuchika Okada 2016.JPG,https://commons.wikimedia.org/wiki/File:Kazuchika_Okada_2016.JPG,CC BY-SA 4.0,ゾーヒョー,Own work,Saved from Wikimedia Commons P18 image
7,aew-aew-chris-jericho,Chris Jericho,saved,Q44144,Chris Jericho,American-Canadian professional wrestler (born 1970),"Chris Jericho, June 2024 (cropped).jpg","https://commons.wikimedia.org/wiki/File:Chris_Jericho,_June_2024_(cropped).jpg",CC BY 2.0,Collision Conf,VR3_0727,Saved from Wikimedia Commons P18 image
8,wwe-raw-cm-punk,CM Punk,error,Q215447,CM Punk,"American professional wrestler, actor, and retired mixed martial artist",,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q215447&props=claims&format=json
9,wwe-raw-seth-rollins,Seth Rollins,saved,Q715014,Seth Rollins,American professional wrestler and actor,Seth Rollins July 2019.jpg,https://commons.wikimedia.org/wiki/File:Seth_Rollins_July_2019.jpg,CC BY 2.0,Super Festivals,Flickr,Saved from Wikimedia Commons P18 image
10,wwe-smackdown-bianca-belair,Bianca Belair,saved,Q30647464,Bianca Belair,American professional wrestler,Bianca Belair Texas 2023.jpg,https://commons.wikimedia.org/wiki/File:Bianca_Belair_Texas_2023.jpg,Public domain,US Air Force / Jason Wilkinson,230126-F-SE617-1782,Saved from Wikimedia Commons P18 image
